,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Gravedad_Indicador_Tradicional,Clase,Edad,Sexo
24177,10,31,4,12,33,14,1,4,31.0,1
24178,10,31,4,18,4,15,1,12,23.0,1
24179,10,31,4,18,4,15,1,12,53.0,2
24180,11,1,5,14,0,14,1,1,32.0,2
24181,11,2,6,8,30,1,1,3,16.0,1
24182,11,2,6,8,30,1,1,3,16.0,2
24183,11,2,6,8,30,1,1,4,57.0,1
24184,11,1,5,7,35,13,1,1,41.0,1
24185,11,1,5,7,35,13,1,4,28.0,1
24186,11,3,7,18,13,9,1,1,39.0,1
24187,11,3,7,18,13,9,1,5,32.0,1
24188,10,31,4,12,30,17,1,4,47.0,1
24189,10,31,4,12,30,17,1,4,46.0,1
24190,10,31,4,12,30,17,1,4,34.0,1
24191,10,31,4,12,30,17,1,2,33.0,2
24192,10,31,4,12,30,17,1,2,49.0,2
24193,10,31,4,12,30,17,1,2,36.0,1
24194,10,31,4,12,30,17,1,2,62.0,2
24195,10,31,4,12,30,17,1,2,35.0,2
24196,10,31,4,12,30,17,1,2,0.0,1
24197,10,31,4,12,30,17,1,11,57.0,1
24198,11,3,7,1,30,12,1,2,29.0,1
24199,11,3,7,1,30,12,1,4,60.0,1
24200,11,2,6,5,10,12,1,16,28.0,2
24201,11,2,6,5,10,12,1,1,35.0,1
24202,11,6,3,20,50,1,1,4,29.0,1
24203,11,5,2,14,55,16,1,2,54.0,1
24204,11,8,5,7,30,14,1,1,45.0,2
24205,11,6,3,5,30,7,1,2,61.0,1
24206,11,6,3,5,30,7,1,1,23.0,1
24207,11,6,3,5,30,7,1,2,20.0,1
24208,2,11,7,13,52,4,1,2,30.0,1
24209,2,21,3,18,20,3,1,2,34.0,1
24210,2,21,3,18,20,3,1,5,17.0,1
24211,2,24,6,17,12,11,1,1,35.0,1
24212,2,24,6,17,12,11,1,5,48.0,1
24213,2,15,4,12,10,15,1,1,43.0,2
24214,2,15,4,12,10,15,1,1,45.0,1
24215,2,24,6,17,1,12,1,1,20.0,1
24216,2,24,6,17,1,12,1,1,27.0,2
24217,2,25,7,9,47,12,1,2,23.0,1
24218,2,25,7,9,47,12,1,1,36.0,1
24219,3,4,1,1,28,3,1,4,60.0,1
24220,3,4,1,1,28,3,1,1,24.0,1
24221,3,4,1,11,0,13,3,7,36.0,1
24222,3,4,1,11,18,6,1,3,37.0,1
24223,3,4,1,11,18,6,1,5,28.0,2
24224,3,5,2,20,46,13,1,1,18.0,1
24225,3,5,2,20,46,13,1,1,22.0,2
24226,3,3,7,4,0,7,1,1,28.0,1
24227,3,1,5,14,45,4,1,4,63.0,1
24228,3,1,5,14,45,4,1,1,21.0,1
24229,3,14,4,9,7,2,1,1,21.0,2
24230,3,14,4,9,7,2,1,11,54.0,2
24231,2,14,3,19,50,12,1,4,32.0,1
24232,2,14,3,19,50,12,1,1,40.0,1
24233,2,14,3,19,50,12,1,1,23.0,2
24234,3,16,6,12,35,11,2,7,61.0,1
24235,3,16,6,12,35,11,2,1,24.0,1
24236,3,15,5,17,20,17,2,1,43.0,1
24237,3,15,5,17,20,17,2,1,41.0,1
24238,3,15,5,9,32,13,1,1,31.0,1
24239,3,19,2,17,7,2,3,1,17.0,1
24240,3,19,2,17,7,2,3,2,54.0,2
24241,3,19,2,6,45,2,3,4,63.0,1
24242,3,19,2,6,45,2,3,1,37.0,2
24243,3,19,2,20,15,6,1,1,22.0,1
24244,3,19,2,20,15,6,1,1,25.0,1
24245,8,30,5,18,17,12,1,5,21.0,1
24246,8,30,5,18,17,12,1,1,29.0,1
24247,8,31,6,10,20,2,1,5,22.0,1
24248,10,3,4,16,6,15,1,1,30.0,1
24249,10,3,4,20,15,6,1,1,24.0,1
24250,10,3,4,8,30,11,1,2,38.0,2
24251,10,3,4,6,59,11,1,1,22.0,2
24252,10,3,4,6,59,11,1,3,35.0,1
24253,8,12,1,16,50,5,1,1,24.0,1
24254,8,5,1,6,35,18,1,1,37.0,2
24255,8,5,1,6,35,18,1,1,11.0,2
24256,8,5,1,6,35,18,1,5,38.0,1
24257,8,10,6,6,7,12,1,1,36.0,1
24258,8,10,6,6,7,12,1,1,21.0,1
24259,8,10,6,8,30,9,3,2,22.0,1
24260,8,10,6,8,30,9,3,2,45.0,1
24261,8,10,6,15,36,17,1,1,42.0,1
24262,8,10,6,15,36,17,1,5,53.0,1
24263,8,12,1,15,20,10,1,4,23.0,1
24264,8,12,1,15,20,10,1,5,16.0,1
24265,8,11,7,5,50,16,1,1,18.0,1
24266,8,11,7,5,50,16,1,1,28.0,1
24267,8,13,2,11,46,5,1,2,27.0,1
24268,8,13,2,11,46,5,1,1,21.0,1
24269,8,15,4,17,30,14,1,2,27.0,1
24270,8,13,2,12,3,17,1,1,37.0,1
24271,8,13,2,12,3,17,1,1,23.0,1
24272,8,13,2,12,3,17,1,1,22.0,1
24273,7,10,3,14,49,16,1,1,35.0,1
24274,7,10,3,8,10,15,1,1,35.0,1
24275,7,10,3,17,42,16,1,5,35.0,1
24276,7,10,3,17,42,16,1,4,33.0,1
24277,7,10,3,22,15,14,1,1,31.0,1
24278,7,10,3,22,15,14,1,2,51.0,1
24279,7,10,3,20,14,4,1,1,26.0,1
24280,7,10,3,7,22,7,1,5,13.0,1
24281,8,26,1,7,10,14,1,12,36.0,1
24282,8,26,1,7,10,14,1,1,33.0,1
24283,8,26,1,7,10,14,1,1,44.0,2
24284,8,26,1,7,10,14,1,2,38.0,1
24285,8,24,6,9,32,16,1,1,19.0,1
24286,8,24,6,9,32,16,1,1,23.0,2
24287,8,24,6,9,32,16,1,3,33.0,1
